,docket,year,issue,issue_area,case_source_circuit,case_origin_circuit,lc_direction,lc_disposition,overturn_count_predict,overturn_count_actual,overturn_predict,overturn_actual,justice_1,justice_2,justice_3,justice_4,justice_5,justice_6,justice_7,justice_8,justice_9,justice_1_dir,justice_2_dir,justice_3_dir,justice_4_dir,justice_5_dir,justice_6_dir,justice_7_dir,justice_8_dir,justice_9_dir,justice_chief,correct
0,2010-075-01,2010,10270.0,1.0,0.0,0.0,1.0,2.0,0.5555555555555556,0.5555555555555556,True,True,0,0,0,0,1,1,1,1,1,1.2962542565266741,1.318955732122588,1.3356643356643356,1.3690987124463518,1.3968253968253967,1.530612244897959,1.5711009174311927,1.5897435897435896,1.610419026047565,0,True
1,2010-076-01,2010,100030.0,10.0,8.0,8.0,1.0,2.0,1.0,0.5555555555555556,True,True,1,1,1,1,1,1,1,1,1,1.2962542565266741,1.318955732122588,1.3356643356643356,1.3690987124463518,1.3968253968253967,1.530612244897959,1.5711009174311927,1.5897435897435896,1.610419026047565,1,True
2,2010-080-01,2010,90260.0,9.0,9.0,9.0,2.0,8.0,1.0,0.6666666666666666,True,True,1,1,1,1,1,1,1,1,1,1.2968397291196387,1.3205417607223475,1.3387096774193548,1.3715498938428874,1.3979706877113867,1.5471698113207548,1.572405929304447,1.5962732919254659,1.6114864864864864,1,True
3,2010-081-01,2010,40060.0,4.0,0.0,0.0,1.0,2.0,0.5555555555555556,1.0,True,True,0,0,0,0,1,1,1,1,1,1.2968397291196387,1.3205417607223475,1.3387096774193548,1.3715498938428874,1.3979706877113867,1.5471698113207548,1.572405929304447,1.5962732919254659,1.6114864864864864,0,True
4,2010-082-01,2010,40060.0,4.0,0.0,0.0,1.0,2.0,0.5555555555555556,0.6666666666666666,True,True,0,0,0,0,1,1,1,1,1,1.2968397291196387,1.3205417607223475,1.3387096774193548,1.3715498938428874,1.3979706877113867,1.5471698113207548,1.572405929304447,1.5962732919254659,1.6114864864864864,0,True
5,2010-083-01,2010,30010.0,3.0,9.0,9.0,2.0,2.0,0.6666666666666666,0.2222222222222222,True,False,1,1,1,1,1,1,0,0,0,1.2968397291196387,1.3205417607223475,1.3387096774193548,1.3715498938428874,1.3979706877113867,1.5471698113207548,1.572405929304447,1.5962732919254659,1.6114864864864864,1,False
6,2010-084-01,2010,30140.0,3.0,9.0,9.0,2.0,3.0,0.5555555555555556,0.5555555555555556,True,True,1,1,1,1,1,0,0,0,0,1.2968397291196387,1.3205417607223475,1.3387096774193548,1.3715498938428874,1.3979706877113867,1.5471698113207548,1.572405929304447,1.5962732919254659,1.6114864864864864,1,True
7,2010-085-01,2010,10130.0,1.0,5.0,5.0,1.0,2.0,1.0,0.4444444444444444,True,False,1,1,1,1,1,1,1,1,1,1.2965050732807215,1.3201803833145433,1.3379310344827586,1.3707627118644068,1.3975225225225225,1.5555555555555556,1.572892938496583,1.5987654320987654,1.611923509561305,1,False
8,2011-001-01,2011,10020.0,1.0,9.0,9.0,2.0,4.0,1.0,0.6666666666666666,True,True,1,1,1,1,1,1,1,1,1,1.2961711711711712,1.3198198198198199,1.3371559633027523,1.3699788583509513,1.3970753655793027,1.5454545454545454,1.5722411831626848,1.5950920245398772,1.6112359550561797,1,True
9,2011-002-01,2011,10020.0,1.0,3.0,3.0,1.0,2.0,0.5555555555555556,0.0,True,False,0,0,0,0,1,1,1,1,1,1.2951739618406286,1.3187429854096522,1.3348519362186788,1.3676470588235294,1.3957399103139014,1.5172413793103448,1.5714285714285714,1.5903614457831325,1.6103023516237402,0,False
10,2011-003-01,2011,10100.0,1.0,6.0,6.0,2.0,1.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1,1,1.2955056179775282,1.3191011235955057,1.3356164383561644,1.368421052631579,1.3961840628507296,1.5263157894736843,1.572077185017026,1.593939393939394,1.6109865470852018,1,True
11,2011-004-01,2011,80160.0,8.0,0.0,0.0,2.0,2.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1,1,1.2955056179775282,1.3191011235955057,1.3356164383561644,1.368421052631579,1.3961840628507296,1.5263157894736843,1.572077185017026,1.593939393939394,1.6109865470852018,1,True
