,docket,year,issue,issue_area,case_source_circuit,case_origin_circuit,lc_direction,lc_disposition,overturn_count_predict,overturn_count_actual,overturn_predict,overturn_actual,justice_1,justice_2,justice_3,justice_4,justice_5,justice_6,justice_7,justice_8,justice_9,justice_1_dir,justice_2_dir,justice_3_dir,justice_4_dir,justice_5_dir,justice_6_dir,justice_7_dir,justice_8_dir,justice_9_dir,justice_chief,correct
0,2012-001-01,2012,40070.0,4.0,13,13.0,2.0,3.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1,1,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.5,1,True
1,2012-003-01,2012,70010.0,7.0,0,0.0,2.0,3.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,True
2,2012-005-01,2012,20400.0,2.0,8,8.0,1.0,2.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.3333333333333333,1,True
3,2012-006-01,2012,10400.0,1.0,12,12.0,1.0,2.0,1.0,0.0,True,False,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.2857142857142858,1,False
4,2012-007-01,2012,80200.0,8.0,2,2.0,1.0,2.0,1.0,0.0,True,False,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.2857142857142858,1,False
5,2012-008-01,2012,80130.0,8.0,9,9.0,2.0,7.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1,1,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.4,1,True
6,2012-009-01,2012,10020.0,1.0,9,9.0,2.0,1.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1,1,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.4,1,True
7,2012-010-01,2012,40070.0,4.0,11,11.0,2.0,-99.0,1.0,0.2222222222222222,True,False,1,1,1,1,1,1,1,1,1,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.25,1,False
8,2012-011-01,2012,90120.0,9.0,12,12.0,2.0,-99.0,1.0,0.0,True,False,1,1,1,1,1,1,1,1,1,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3333333333333333,1,False
9,2012-012-01,2012,20170.0,2.0,11,11.0,1.0,9.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1,1,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.5,1.5,1.5,1.5384615384615385,1,True
