,docket,year,issue,issue_area,case_source_circuit,case_origin_circuit,lc_direction,lc_disposition,overturn_count_predict,overturn_count_actual,overturn_predict,overturn_actual,justice_1,justice_2,justice_3,justice_4,justice_5,justice_6,justice_7,justice_8,justice_9,justice_1_dir,justice_2_dir,justice_3_dir,justice_4_dir,justice_5_dir,justice_6_dir,justice_7_dir,justice_8_dir,justice_9_dir,justice_chief,correct
0,2000-003-01,2000,10450.0,1.0,5.0,5.0,2.0,2.0,0.0,1.0,False,True,0,0,0,0,0,0,0,0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,False
1,2000-004-01,2000,90240.0,9.0,11.0,11.0,2.0,-99.0,0.0,1.0,False,True,0,0,0,0,0,0,0,0,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,False
2,2000-005-01,2000,10060.0,1.0,7.0,7.0,2.0,3.0,0.0,0.3333333333333333,False,False,0,0,0,0,0,0,0,0,0.0,1.4,1.4,1.4,1.6,1.6,1.6,1.6,1.6,1.6,0.0,True
3,2000-006-01,2000,-99.0,-99.0,4.0,4.0,2.0,2.0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,0.0,1.4,1.4,1.4,1.6,1.6,1.6,1.6,1.6,1.6,0.0,True
4,2000-007-01,2000,90190.0,9.0,0.0,0.0,2.0,3.0,0.0,1.0,False,True,0,0,0,0,0,0,0,0,0.0,1.5,1.5,1.5,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,False
5,2000-008-01,2000,90380.0,9.0,11.0,11.0,1.0,6.0,0.0,1.0,False,True,0,0,0,0,0,0,0,0,0.0,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,0.0,False
6,2000-009-01,2000,20010.0,2.0,0.0,0.0,2.0,7.0,0.0,0.5555555555555556,False,True,0,0,0,0,0,0,0,0,0.0,1.5,1.5,1.5,1.625,1.625,1.625,1.625,1.625,1.625,0.0,False
7,2000-010-01,2000,80130.0,8.0,7.0,7.0,2.0,2.0,0.0,0.5555555555555556,False,True,0,0,0,0,0,0,0,0,0.0,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.5,1.5,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.75,0.0,False
8,2000-011-01,2000,10120.0,1.0,7.0,7.0,1.0,2.0,0.0,1.0,False,True,0,0,0,0,0,0,0,0,0.0,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.5,1.5,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.75,0.0,False
9,2000-012-01,2000,120010.0,12.0,10.0,22.0,2.0,2.0,0.0,0.8888888888888888,False,True,0,0,0,0,0,0,0,0,0.0,1.4166666666666667,1.4166666666666667,1.4166666666666667,1.5,1.5,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.75,0.0,False
