,docket,year,issue,issue_area,case_source_circuit,case_origin_circuit,lc_direction,lc_disposition,overturn_count_predict,overturn_count_actual,overturn_predict,overturn_actual,justice_1,justice_2,justice_3,justice_4,justice_5,justice_6,justice_7,justice_8,justice_9,justice_1_dir,justice_2_dir,justice_3_dir,justice_4_dir,justice_5_dir,justice_6_dir,justice_7_dir,justice_8_dir,justice_9_dir,justice_chief,correct
0,2010-011-01,2010,10020.0,1.0,9.0,9.0,2.0,4.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1,1,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1818181818181819,1.25,1,True
1,2010-012-01,2010,80170.0,8.0,9.0,9.0,2.0,6.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1,1,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1818181818181819,1.25,1,True
2,2010-014-01,2010,20060.0,2.0,6.0,6.0,1.0,2.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1,1,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1818181818181819,1.25,1,True
3,2010-015-01,2010,100030.0,10.0,3.0,13.0,1.0,2.0,1.0,0.7777777777777778,True,True,1,1,1,1,1,1,1,1,1,1.1666666666666667,1.2142857142857142,1.2307692307692308,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.3571428571428572,1,True
4,2010-016-01,2010,80100.0,8.0,11.0,11.0,1.0,2.0,0.0,0.2222222222222222,False,False,0,0,0,0,0,0,0,0,0,1.1666666666666667,1.2142857142857142,1.2307692307692308,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.3571428571428572,0,True
5,2010-017-01,2010,20330.0,2.0,9.0,9.0,2.0,4.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1,1,1.125,1.2,1.25,1.25,1.25,1.25,1.25,1.3125,1.3125,1,True
6,2010-018-01,2010,100030.0,10.0,0.0,0.0,2.0,2.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1,1,1.125,1.2,1.25,1.25,1.25,1.25,1.25,1.3125,1.3125,1,True
7,2010-019-01,2010,10270.0,1.0,0.0,0.0,2.0,3.0,1.0,0.7777777777777778,True,True,1,1,1,1,1,1,1,1,1,1.125,1.1875,1.2352941176470589,1.2352941176470589,1.2352941176470589,1.2352941176470589,1.2352941176470589,1.2941176470588236,1.2941176470588236,1,True
8,2010-020-01,2010,50040.0,5.0,3.0,3.0,1.0,1.0,1.0,0.1111111111111111,True,False,1,1,1,1,1,1,1,1,1,1.125,1.2105263157894737,1.25,1.25,1.25,1.25,1.3,1.3,1.35,1,False
9,2010-021-01,2010,20060.0,2.0,7.0,7.0,1.0,3.0,1.0,1.0,True,True,1,1,1,1,1,1,1,1,1,1.125,1.2105263157894737,1.25,1.25,1.25,1.25,1.3,1.3,1.35,1,True
