,docket,year,issue,issue_area,case_source_circuit,case_origin_circuit,lc_direction,lc_disposition,overturn_count_predict,overturn_count_actual,overturn_predict,overturn_actual,justice_1,justice_2,justice_3,justice_4,justice_5,justice_6,justice_7,justice_8,justice_9,justice_1_dir,justice_2_dir,justice_3_dir,justice_4_dir,justice_5_dir,justice_6_dir,justice_7_dir,justice_8_dir,justice_9_dir,justice_chief,correct
23,2013-035-01,2013,20070.0,2.0,6,6,2.0,3.0,0.015365123456790123,0.7777777777777778,False,True,0.01673829365079365,0.01673829365079365,0.017196626984126988,0.017196626984126988,0.016521626984126982,0.012816666666666669,0.013525000000000002,0.014236309523809526,0.013316666666666668,1.4411764705882353,1.4705882352941178,1.5,1.5,1.588235294117647,1.59375,1.6176470588235294,1.6176470588235294,1.6470588235294117,0.016521626984126982,False
24,2013-036-01,2013,10060.0,1.0,0,0,1.0,9.0,0.04611130751964085,0.4444444444444444,False,False,0.04700555555555555,0.04703333333333333,0.04653333333333333,0.046479166666666655,0.047278156565656565,0.04449305555555555,0.04572916666666666,0.04558194444444444,0.04486805555555555,1.4411764705882353,1.4705882352941178,1.5,1.5,1.588235294117647,1.59375,1.6176470588235294,1.6176470588235294,1.6470588235294117,0.047278156565656565,True
25,2013-037-01,2013,10090.0,1.0,6,6,2.0,2.0,0.013860879629629628,0.6666666666666666,False,True,0.01428125,0.01378125,0.01415625,0.01390625,0.013197916666666667,0.013481249999999998,0.013981249999999999,0.013981249999999999,0.013981249999999999,1.4166666666666667,1.4444444444444444,1.4722222222222223,1.5,1.5555555555555556,1.588235294117647,1.6111111111111112,1.6388888888888888,1.6666666666666667,0.013197916666666667,False
26,2013-038-01,2013,80080.0,8.0,5,5,2.0,5.0,0.17211059997101666,0.5555555555555556,False,True,0.18080067432567432,0.1813590076590077,0.18151317432567432,0.181867340992341,0.173286090992341,0.15995477786102785,0.16545894452769455,0.1637256111943612,0.16102977786102787,1.4166666666666667,1.4444444444444444,1.4722222222222223,1.5,1.5555555555555556,1.588235294117647,1.6111111111111112,1.6388888888888888,1.6666666666666667,0.173286090992341,False
27,2013-039-01,2013,80130.0,8.0,12,12,1.0,8.0,0.08207473938098937,0.7777777777777778,False,True,0.09072525946275947,0.09137803724053725,0.0907759539072039,0.09224262057387059,0.08924438825063827,0.06836821581196581,0.074596192002442,0.07352932692307693,0.06781266025641025,1.4210526315789473,1.4615384615384615,1.4871794871794872,1.5128205128205128,1.5897435897435896,1.5945945945945945,1.6153846153846154,1.641025641025641,1.6923076923076923,0.08924438825063827,False
28,2013-040-01,2013,60010.0,6.0,13,8,1.0,2.0,0.07447644801186468,1.0,False,True,0.07827318722943724,0.07789818722943724,0.07876902056277058,0.07868568722943725,0.07649162157287158,0.06875681818181817,0.07139987373737373,0.07166098484848486,0.0683526515151515,1.4210526315789473,1.4615384615384615,1.4871794871794872,1.5128205128205128,1.5897435897435896,1.5945945945945945,1.6153846153846154,1.641025641025641,1.6923076923076923,0.07649162157287158,False
29,2013-041-01,2013,60010.0,6.0,5,5,1.0,7.0,0.06395715187590187,1.0,False,True,0.06764146825396825,0.06662619047619048,0.06695744047619047,0.06665744047619047,0.06519393037518037,0.05965009920634921,0.06138759920634921,0.061976488095238105,0.05952371031746032,1.4210526315789473,1.4615384615384615,1.4871794871794872,1.5128205128205128,1.5897435897435896,1.5945945945945945,1.6153846153846154,1.641025641025641,1.6923076923076923,0.06519393037518037,False
30,2013-042-01,2013,30170.0,3.0,2,2,2.0,3.0,0.045324900793650785,0.5555555555555556,False,True,0.04726339285714285,0.04651339285714286,0.046288392857142854,0.045705059523809516,0.044055059523809524,0.04427708333333333,0.044638392857142856,0.04465625,0.04452708333333333,1.4146341463414633,1.4523809523809523,1.4761904761904763,1.5,1.5714285714285714,1.6,1.619047619047619,1.6428571428571428,1.6904761904761905,0.044055059523809524,False
31,2013-043-01,2013,10430.0,1.0,7,7,1.0,2.0,0.1730125761584095,0.0,False,False,0.17710262445887448,0.18040004509379512,0.1819437950937951,0.18231879509379514,0.17686282467532471,0.16210798160173162,0.16858179112554117,0.16566790223665223,0.16212742604617605,1.4146341463414633,1.4523809523809523,1.4761904761904763,1.5,1.5714285714285714,1.6,1.619047619047619,1.6428571428571428,1.6904761904761905,0.17686282467532471,True
32,2013-044-01,2013,20400.0,2.0,5,5,1.0,2.0,0.06303048741382074,1.0,False,True,0.06431755952380952,0.06411617063492062,0.06504325396825396,0.06420992063492062,0.0629491883116883,0.06107380952380953,0.06230714285714286,0.06216408730158731,0.06109325396825398,1.4146341463414633,1.4523809523809523,1.4761904761904763,1.5,1.5714285714285714,1.6,1.619047619047619,1.6428571428571428,1.6904761904761905,0.0629491883116883,False
33,2013-045-01,2013,80190.0,8.0,9,9,2.0,2.0,0.1874791124770292,0.3333333333333333,False,False,0.1982077630702632,0.19607442973692982,0.19633276307026312,0.1969994297369298,0.18721742216117226,0.1761047237484738,0.18109519993894999,0.17948805708180712,0.17579222374847375,1.4285714285714286,1.4651162790697674,1.4883720930232558,1.5116279069767442,1.5813953488372092,1.6097560975609757,1.627906976744186,1.6511627906976745,1.697674418604651,0.18721742216117226,True
34,2013-046-01,2013,10130.0,1.0,0,0,1.0,2.0,0.052788622334455665,0.5555555555555556,False,True,0.05181944444444444,0.05377777777777777,0.05365277777777777,0.05354861111111111,0.05294065656565656,0.05264583333333333,0.05205694444444444,0.0524736111111111,0.05218194444444444,1.4042553191489362,1.4375,1.4791666666666667,1.4791666666666667,1.5416666666666667,1.6041666666666667,1.608695652173913,1.625,1.6875,0.05294065656565656,False
35,2013-047-01,2013,30150.0,3.0,9,9,2.0,2.0,0.09274691358024696,1.0,False,True,0.09959384920634926,0.09930634920634927,0.09996884920634926,0.09932301587301592,0.0951271825396826,0.08811726190476193,0.08396011904761909,0.08613928571428574,0.08318630952380954,1.4042553191489362,1.4375,1.4791666666666667,1.4791666666666667,1.5416666666666667,1.6041666666666667,1.608695652173913,1.625,1.6875,0.0951271825396826,False
36,2013-048-01,2013,20160.0,2.0,6,6,2.0,4.0,0.03723091931216931,0.4444444444444444,False,False,0.03946875,0.03909375,0.03909375,0.03901041666666667,0.03688541666666667,0.03602113095238094,0.03479196428571428,0.03547113095238095,0.03524196428571427,1.4042553191489362,1.4375,1.4791666666666667,1.4791666666666667,1.5416666666666667,1.6041666666666667,1.608695652173913,1.625,1.6875,0.03688541666666667,True
37,2013-049-01,2013,20400.0,2.0,6,6,2.0,2.0,0.09763441358024694,1.0,False,True,0.10216924603174606,0.10204841269841274,0.10298591269841272,0.10265257936507939,0.0981025793650794,0.09514265873015877,0.09164682539682543,0.09334682539682543,0.09061468253968256,1.4042553191489362,1.4375,1.4791666666666667,1.4791666666666667,1.5416666666666667,1.6041666666666667,1.608695652173913,1.625,1.6875,0.0981025793650794,False
